freq,tra_cov,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,TOTAL,MIO_PKM,AT	18766 	20760 	21378 	22315 	23346 	23403 	25422 	28027 	28905 	7803 
A,TOTAL,MIO_PKM,BE	11951 	13156 	13536 	14268 	15020 	15490 	16746 	17614 	17575 	4585 
A,TOTAL,MIO_PKM,BG	12563 	15017 	15861 	17023 	17979 	16651 	17506 	19765 	17337 	4302 
A,TOTAL,MIO_PKM,CH	11707 	12027 	12458 	13144 	13873 	14792 	15794 	16620 	17045 	4262 
A,TOTAL,MIO_PKM,CY	1209 	1499 	1583 	1703 	1835 	1986 	2272 	2429 	2181 	462 
A,TOTAL,MIO_PKM,CZ	12056 	12892 	13435 	13997 	14701 	15561 	16985 	18504 	19090 	4887 
A,TOTAL,MIO_PKM,DE	95405 	100501 	103143 	106821 	111625 	116121 	124326 	130827 	131882 	34747 
A,TOTAL,MIO_PKM,DK	8461 	8519 	8878 	9239 	9535 	10167 	10675 	10921 	10983 	2742 
A,TOTAL,MIO_PKM,EE	2619 	2834 	2907 	2942 	3011 	3019 	3301 	3561 	3609 	648 
A,TOTAL,MIO_PKM,EL	19936 	21525 	21514 	23295 	24721 	23944 	26564 	30101 	30844 	8403 
A,TOTAL,MIO_PKM,ES	79403 	76787 	76473 	80162 	84474 	93272 	101732 	105936 	109355 	30674 
A,TOTAL,MIO_PKM,EU27_2020	589824 	615893 	632415 	659685 	689627 	722016 	779931 	826942 	837952 	222629 
A,TOTAL,MIO_PKM,FI	4962 	5206 	5196 	5396 	5418 	5405 	5915 	6401 	6588 	1698 
A,TOTAL,MIO_PKM,FR	139486 	143320 	148367 	154499 	160978 	172883 	185558 	191895 	194440 	51731 
A,TOTAL,MIO_PKM,HR	11082 	11883 	12307 	13015 	13816 	13971 	15571 	17224 	17850 	4928 
A,TOTAL,MIO_PKM,HU	12194 	13743 	14267 	14996 	15922 	16057 	17504 	19408 	19326 	5314 
A,TOTAL,MIO_PKM,IE	7054 	7374 	7573 	7828 	8167 	8344 	8755 	9071 	9252 	1880 
A,TOTAL,MIO_PKM,IT	54424 	55253 	55301 	57267 	59729 	61654 	66356 	71510 	74211 	20131 
A,TOTAL,MIO_PKM,LT	2842 	3042 	3211 	3193 	3226 	3283 	3619 	3995 	4076 	803 
A,TOTAL,MIO_PKM,LU	739 	822 	861 	919 	950 	989 	1053 	1101 	1089 	275 
A,TOTAL,MIO_PKM,LV	2952 	2992 	3082 	3223 	3333 	3415 	3737 	4103 	4195 	810 
A,TOTAL,MIO_PKM,MT	207 	210 	223 	236 	231 	242 	283 	320 	336 	80 
A,TOTAL,MIO_PKM,NL	12402 	13026 	13758 	14385 	15073 	16128 	17178 	17713 	17941 	4941 
A,TOTAL,MIO_PKM,NO	9110 	9728 	10282 	10683 	10726 	10984 	11400 	11750 	11624 	4244 
A,TOTAL,MIO_PKM,PL	23947 	26149 	27710 	28163 	29191 	30176 	33001 	35726 	36400 	8706 
A,TOTAL,MIO_PKM,PT	12174 	12333 	12937 	13846 	14536 	15984 	17662 	18142 	18800 	5597 
A,TOTAL,MIO_PKM,RO	17557 	19863 	20731 	21569 	22513 	22568 	24410 	26748 	25682 	6924 
A,TOTAL,MIO_PKM,SE	17596 	18556 	19237 	20001 	20540 	21367 	22708 	23440 	23096 	6063 
A,TOTAL,MIO_PKM,SI	3427 	3850 	3897 	4141 	4340 	4260 	4826 	5375 	5597 	1621 
A,TOTAL,MIO_PKM,SK	4409 	4779 	5050 	5245 	5420 	5673 	6266 	7083 	7309 	1872 
